Ringing Bell,https://upload.wikimedia.org/wikipedia/en/1/13/RingingbellCover.jpg
Smart-san,https://upload.wikimedia.org/wikipedia/en/6/61/Haikara-san_ga_Toru.jpg
Space Battleship Yamato II,https://upload.wikimedia.org/wikipedia/en/b/b4/YamatoIIDVD.jpg
Space Pirate Captain Harlock,https://upload.wikimedia.org/wikipedia/en/b/bb/Captain_Herlock_vol_1.jpg
Starzinger,https://upload.wikimedia.org/wikipedia/en/0/02/Sci-Fi_West_Saga_Starzinger%2C_Vol_1_DVD_Cover.jpg
The Adventures of the Little Prince (TV series),https://upload.wikimedia.org/wikipedia/en/3/35/The_Adventures_of_the_Little_Prince_%28TV_series%29.jpg
The Mystery of Mamo,https://upload.wikimedia.org/wikipedia/en/6/62/Lupin_Mamo_poster.jpg
Treasure Island (1978 TV series),https://upload.wikimedia.org/wikipedia/en/a/a0/Treasure_Island_%28DVD_1978_TV_series%29.jpg
Aim for the Ace!,https://upload.wikimedia.org/wikipedia/en/a/a1/Ace_wo_Nerae_volume_1_cover_by_Sumika_Yamamoto.png
Galaxy Express 999 (film),https://upload.wikimedia.org/wikipedia/en/8/8e/Galaxy-express-999-1979-poster.jpg
Mobile Suit Gundam,https://upload.wikimedia.org/wikipedia/en/f/f8/MobileSuitGundamDVDbox.jpg
The Castle of Cagliostro,https://upload.wikimedia.org/wikipedia/en/4/4f/Castle_of_Cagliostro_poster.png
The Rose of Versailles,https://upload.wikimedia.org/wikipedia/en/5/50/The_Rose_of_Versailles_Volume_1.png
Undersea Super Train: Marine Express,https://upload.wikimedia.org/wikipedia/en/8/86/Marine_Express-VHS.jpg
Unico: Black Cloud and White Feather,https://upload.wikimedia.org/wikipedia/en/1/18/Unico-1.jpg
Yamato: The New Voyage,https://upload.wikimedia.org/wikipedia/en/c/c0/Yamato%2C_The_New_Voyage%2C_DVD_Cover.jpg
Zenderman,https://upload.wikimedia.org/wikipedia/en/9/95/Zenderman.jpg
3000 Leagues in Search of Mother,https://upload.wikimedia.org/wikipedia/en/2/20/Haha_o_Tazunete_Sanzenri_DVD_vol_1.jpg
Ashita no Joe,https://upload.wikimedia.org/wikipedia/en/3/38/Ashita_no_Joe_Volume_1.jpg
Be Forever Yamato,https://upload.wikimedia.org/wikipedia/en/7/78/Be_Forever_Yamato%2C_DVD_Cover.jpg
Captain (manga),https://upload.wikimedia.org/wikipedia/en/b/b3/Captain_Chiba_Akio_volume_1_bunko.gif
Cyborg 009,https://upload.wikimedia.org/wikipedia/en/e/ea/Cyborg_009.jpg
Doraemon: Nobita's Dinosaur,https://upload.wikimedia.org/wikipedia/en/e/e0/Nobita%27s_Dinosaur.png
Dracula: Sovereign of the Damned,https://upload.wikimedia.org/wikipedia/en/b/bc/Rachel_van_Helsing.jpg
Fumoon,https://upload.wikimedia.org/wikipedia/en/0/07/Fumoon.jpg
Ganbare!! Tabuchi-kun!!,https://upload.wikimedia.org/wikipedia/en/6/69/Ganbare%21%21_Tabuchi-kun%21%21.jpg
Invincible Robo Trider G7,https://upload.wikimedia.org/wikipedia/en/e/e3/Trider_G7_DVD_1_Cover_Art.jpg
Kaibutsu-kun,https://upload.wikimedia.org/wikipedia/en/6/67/Kaibutsu-kun.jpg
King Arthur: Prince on White Horse,https://upload.wikimedia.org/wikipedia/en/1/1d/King_Arthur_Prince_on_White_Horse.jpg
