A.D. Police: To Protect and Serve
AD Police
A Certain Magical Index
A Certain Magical Index: The Movie – The Miracle of Endymion
A Certain Magical Index II
A Certain Scientific Railgun
Abashiri Family
Absolute Duo
Aesthetica of a Rogue Hero
Afro Samurai
Afro Samurai: Resurrection
Agent Aika
Akira (1988 film)
Akira Nishimori
Akiyuki Shinbo
Angel Beats!
Arabian Nights: Sinbad's Adventures
Armitage III
Armored Trooper Votoms
Attack on Titan
Baccano
Battle Royal High School
Bee Train
Berserk (1997 TV series)
Berserk (2016 TV series)
Black Jack 21
Black Lagoon
Black Magic M-66
Black Rock Shooter
Blade of the Immortal
Blassreiter
Bleach: Fade to Black
Bleach: Hell Verse
Bleach: Memories of Nobody
Bleach: The DiamondDust Rebellion
Bleach (TV series)
Blood+
Blood-C
Blood-C: The Last Dark
Blood: The Last Vampire
Blue Exorcist
Blue Seed
Brain's Base
Btooom!
Burn-Up Scramble
Burst Angel
Busou Renkin
Cardfight!! Vanguard
Casshern Sins
Chrome Shelled Regios
Claymore (manga)
Cutey Honey
Cybuster
Daisuke Nishio
Dance in the Vampire Bund
Darker Than Black
Daughter of Twenty Faces
Dentsu
Devil Hunter Yohko
Devilman
Digimon Adventure
Digimon Adventure 02
Digimon Adventure tri.
Digimon Data Squad
Digimon Frontier
Digimon Fusion (season 1)
Digimon Tamers
Digimon Universe: Appli Monsters
Dirty Pair: Affair of Nolandia
Dirty Pair: Flight 005 Conspiracy
Dirty Pair: Project Eden
Dirty Pair (TV series)
Dirty Pair 2
Dirty Pair Flash
Dominion (manga)
Dragon Ball
Dragon Ball GT
Dragon Ball Super
Fullmetal Alchemist
Fullmetal Alchemist: Brotherhood
Fumio Kurokawa
Gainax
GetBackers
Gurren Lagann
Hajime no Ippo
Hayao Miyazaki
Hellsing
Itsuro Kawasaki
JoJo's Bizarre Adventure: Diamond Is Unbreakable
JoJo's Bizarre Adventure: Stardust Crusaders
JoJo's Bizarre Adventure (OVA)
JoJo's Bizarre Adventure (TV series)
Katsuhiko Nishijima
Katsuhito Akiyama
Koichi Ohata
Kōichi Mashimo
Mob Psycho 100
Naoyuki Itō
Naruto
Naruto Shippuden
Neon Genesis Evangelion
Nippon Animation
Noriyuki Abe
One Piece (TV series)
Sanzigen
Seiji Kishi
Seiji Mizushima
Sonic X
Sorcerous Stabber Orphen
Sotsu
Soul Eater (manga)
Sword Art Online
Tatsuyuki Nagai
Telecom Animation Film
Tensai Okamura
Tetsurō Araki
The Castle of Cagliostro
Tokuma Shoten
Tomoharu Katsumata
Tomomi Mochizuki
Trinity Blood
Tsutomu Mizushima
Umanosuke Iida
Virtua Fighter (anime)
Zexcs
